pH,Electrical_Conductivity,Organic_Carbon,Available_Nitrogen,Available_Phosphorus,Available_Potassium,Exchangeable_Calcium,Exchangeable_Magnesium,Available_Sulfur,Iron,Manganese,Zinc,Copper,Soil_Depth,Soil_Type,Fit_for_Betel_Vine
7.98,0.99,0.7,361,14,226,3.95,1.73,14,14.95,9.65,1.03,0.22,Surface,Loamy,Yes
6.58,0.5,0.81,362,37,197,3.53,1.2,6,6.13,9.2,1.97,0.26,Subsurface,Clayey,Yes
6.71,0.68,0.75,272,19,207,2.03,1.01,16,7.52,2.25,1.07,0.87,Surface,Mixed,No
6.58,0.15,0.56,307,24,290,2.25,1.16,16,15.66,4.82,1.67,0.9,Surface,Sandy,Yes
7.44,0.69,0.63,257,12,198,2.31,2.07,6,5.32,7.91,0.87,0.93,Surface,Clayey,No
6.58,0.87,0.63,365,30,209,4.06,2.11,14,23.3,2.01,1.0,0.53,Surface,Loamy,Yes
7.75,0.95,0.99,300,27,284,3.31,0.71,6,20.93,8.9,1.58,0.57,Surface,Mixed,No
7.27,1.0,0.78,250,12,200,1.67,1.49,8,15.09,6.02,0.59,0.35,Subsurface,Loamy,No
7.29,0.35,1.05,369,16,200,4.43,1.56,10,23.52,2.69,0.64,0.55,Subsurface,Clayey,Yes
7.34,0.62,1.0,279,39,227,3.76,0.56,5,10.19,5.54,0.9,0.33,Subsurface,Mixed,No
6.76,0.51,0.63,266,33,234,4.07,1.93,14,22.07,5.94,0.88,0.69,Surface,Mixed,No
6.8,0.61,0.89,351,30,209,4.78,1.23,11,21.1,4.94,0.6,0.21,Surface,Sandy,Yes
6.98,0.24,1.02,371,23,292,2.41,1.34,11,16.64,5.63,1.96,0.54,Surface,Mixed,Yes
7.39,0.87,0.94,335,25,221,3.56,1.72,5,11.38,9.13,0.94,0.99,Subsurface,Clayey,Yes
6.82,0.92,0.92,318,28,216,4.16,1.44,14,16.17,4.59,1.58,1.0,Surface,Mixed,Yes
6.67,0.5,1.02,338,13,220,3.29,2.0,16,24.14,9.69,1.09,0.82,Subsurface,Loamy,Yes
7.96,0.35,0.54,320,12,225,3.2,1.69,17,6.69,7.5,1.99,0.44,Surface,Loamy,Yes
6.53,0.23,1.01,307,12,275,4.75,0.95,13,9.02,9.17,0.71,0.36,Surface,Loamy,No
7.7,0.72,0.69,399,18,273,2.35,2.24,19,17.88,3.67,1.06,0.23,Subsurface,Loamy,Yes
7.68,0.38,0.9,308,13,265,3.79,0.93,19,18.57,5.93,1.15,0.53,Surface,Mixed,No
6.95,0.92,0.67,286,31,239,4.9,1.93,12,8.29,6.52,1.58,0.57,Subsurface,Loamy,Yes
6.7,0.7,1.09,349,28,267,2.27,2.08,17,21.13,2.68,1.24,0.26,Surface,Clayey,Yes
6.72,0.68,0.84,362,33,253,3.12,1.88,6,23.57,5.95,1.63,0.89,Subsurface,Clayey,Yes
7.55,0.6,0.95,269,37,267,4.91,1.34,11,6.59,8.89,1.76,0.72,Subsurface,Clayey,No
7.46,0.14,1.06,266,20,180,1.63,2.26,6,24.48,2.42,0.93,0.5,Subsurface,Mixed,No
7.67,0.94,1.13,253,24,299,3.7,1.16,18,10.62,7.14,1.71,0.88,Surface,Sandy,No
7.91,0.67,1.01,299,13,233,2.92,1.87,8,11.18,9.91,1.24,0.53,Subsurface,Loamy,Yes
7.54,0.99,0.6,331,38,295,4.2,2.26,17,5.9,6.22,0.61,0.88,Subsurface,Sandy,Yes
6.73,0.58,1.1,299,17,214,2.63,0.81,9,14.95,4.43,0.95,0.6,Surface,Sandy,No
6.87,0.74,0.93,265,11,195,2.81,1.81,14,24.1,6.68,1.7,0.71,Subsurface,Sandy,No
7.76,0.15,0.93,321,34,184,3.3,2.3,19,8.22,6.33,1.08,0.29,Surface,Loamy,Yes
6.81,0.67,1.14,310,27,210,2.71,0.71,7,16.54,2.84,0.64,0.41,Subsurface,Mixed,No
6.61,0.79,0.67,293,12,288,2.41,0.79,11,10.49,3.71,1.46,0.72,Subsurface,Clayey,No
7.55,0.8,0.67,395,12,216,2.74,1.26,11,5.37,7.36,1.78,0.53,Subsurface,Mixed,Yes
7.1,0.79,0.86,299,30,298,4.68,2.49,10,24.74,6.74,0.7,0.31,Surface,Clayey,Yes
7.88,0.3,1.03,329,28,204,2.7,0.95,11,19.32,4.75,1.31,0.32,Subsurface,Clayey,No
7.48,0.98,0.81,279,39,286,4.65,1.15,7,19.71,9.83,0.81,0.77,Subsurface,Clayey,No
6.64,1.0,0.94,298,21,292,2.22,2.17,17,18.26,7.16,1.01,0.75,Subsurface,Clayey,No
7.92,0.17,0.82,347,33,241,3.85,0.76,11,7.87,3.85,1.12,0.78,Subsurface,Mixed,No
6.89,0.94,0.93,398,23,204,4.11,2.49,17,9.13,5.77,0.51,0.78,Surface,Clayey,Yes
7.01,0.36,1.08,399,35,246,1.89,1.98,11,12.71,7.69,1.03,0.97,Subsurface,Clayey,Yes
7.1,0.72,0.63,274,32,297,3.4,2.42,13,24.91,7.38,0.96,0.98,Surface,Mixed,No
6.58,0.4,0.99,305,36,217,1.55,0.79,6,18.45,3.97,1.5,0.55,Surface,Sandy,No
7.24,0.97,1.05,253,22,275,4.75,0.96,7,13.85,7.18,1.82,0.82,Subsurface,Clayey,No
6.68,0.19,0.81,261,25,227,3.33,1.24,8,14.69,4.66,0.66,0.79,Subsurface,Loamy,No
7.1,0.55,0.73,394,26,263,1.63,0.6,12,23.44,5.66,1.22,0.34,Subsurface,Sandy,No
7.03,0.49,0.51,285,31,273,3.89,0.62,5,8.93,7.35,0.92,0.83,Subsurface,Mixed,No
7.66,0.39,1.06,265,27,243,4.6,2.31,15,11.42,6.65,1.98,0.87,Subsurface,Sandy,No
7.7,0.68,0.73,370,22,181,4.08,0.59,6,12.42,7.7,1.67,0.23,Subsurface,Loamy,No
6.73,0.22,0.75,386,38,243,1.97,2.0,6,22.95,5.05,0.68,0.62,Subsurface,Clayey,Yes
7.05,0.74,0.74,327,33,248,3.39,1.94,18,20.54,8.02,1.05,0.4,Surface,Sandy,Yes
7.06,0.98,0.85,304,35,262,4.07,0.65,6,16.82,2.13,0.67,0.95,Subsurface,Mixed,No
6.73,0.82,0.99,322,22,199,4.3,0.88,15,11.29,3.5,1.68,0.27,Subsurface,Mixed,No
7.7,0.87,1.04,313,17,265,1.56,1.41,6,9.04,9.79,1.23,0.73,Surface,Loamy,Yes
7.56,0.42,0.77,339,16,190,2.49,1.78,11,11.62,2.69,1.47,0.72,Subsurface,Clayey,Yes
6.79,0.39,0.96,387,17,298,4.6,2.29,10,23.59,7.3,1.36,0.3,Surface,Mixed,Yes
7.05,0.57,1.0,338,26,261,2.4,1.55,16,23.2,9.33,0.77,0.81,Subsurface,Mixed,Yes
6.66,0.14,0.71,253,33,270,3.15,2.37,11,13.44,8.88,0.52,0.42,Subsurface,Clayey,No
7.44,0.95,0.57,279,10,210,3.94,0.88,10,11.51,9.3,1.81,0.75,Surface,Mixed,No
6.68,0.23,1.13,388,12,214,4.95,1.75,14,22.69,9.87,0.64,0.4,Surface,Mixed,Yes
7.98,0.91,0.97,300,13,223,2.99,2.19,5,13.92,4.86,1.69,0.51,Surface,Mixed,Yes
7.67,0.18,0.95,396,28,234,3.26,0.97,10,5.77,4.64,0.79,0.46,Subsurface,Clayey,No
7.09,0.84,0.54,390,37,224,3.46,2.08,8,11.91,2.97,1.78,0.68,Surface,Sandy,Yes
7.37,0.24,1.07,380,11,200,2.32,1.3,19,17.15,3.61,1.39,0.7,Surface,Mixed,Yes
7.87,0.13,0.9,361,38,231,2.79,2.5,13,23.89,7.22,1.1,0.62,Subsurface,Mixed,Yes
7.33,0.75,1.09,327,20,199,3.02,0.68,18,13.49,4.65,1.49,0.32,Surface,Sandy,No
6.76,0.35,1.18,276,38,188,1.57,1.61,10,9.8,4.73,0.91,0.72,Surface,Mixed,No
7.07,0.74,1.17,337,20,274,1.53,2.07,13,12.69,7.17,1.13,0.39,Subsurface,Sandy,Yes
7.76,0.6,1.1,387,28,188,2.29,1.85,19,6.14,2.84,1.74,0.54,Surface,Clayey,Yes
7.47,0.2,0.51,367,34,237,3.29,1.51,12,22.98,2.45,0.51,0.99,Surface,Clayey,Yes
7.48,0.94,1.12,256,37,250,4.84,1.53,17,5.67,8.42,0.85,0.88,Surface,Mixed,No
7.8,0.51,0.55,364,11,212,4.9,1.31,9,5.02,8.32,1.61,0.42,Subsurface,Mixed,Yes
7.84,0.76,1.1,341,14,180,3.77,1.18,14,17.28,5.08,1.58,0.37,Surface,Loamy,Yes
7.88,0.55,0.7,339,28,262,4.39,1.69,16,8.08,6.74,0.75,0.65,Surface,Clayey,Yes
6.64,0.64,0.93,331,38,182,4.65,2.0,11,10.92,3.9,1.97,0.27,Subsurface,Mixed,Yes
7.32,0.37,0.53,262,18,218,4.44,1.06,15,14.82,4.94,1.51,0.58,Subsurface,Clayey,No
7.61,0.28,1.04,321,16,191,3.4,2.39,12,20.84,2.29,1.06,0.56,Surface,Loamy,Yes
7.64,0.59,0.58,340,35,273,3.96,1.23,17,12.75,4.19,1.03,1.0,Subsurface,Clayey,Yes
7.41,0.5,0.79,391,21,195,1.51,1.37,16,24.14,2.13,1.28,0.23,Surface,Mixed,Yes
6.75,0.45,1.07,354,37,256,3.77,1.32,9,14.06,5.39,0.55,0.9,Surface,Clayey,Yes
7.7,0.71,0.99,293,28,229,2.99,0.72,18,23.4,6.16,1.57,0.95,Surface,Clayey,No
7.58,0.72,0.5,333,27,267,3.76,0.73,16,14.05,5.96,0.6,0.72,Surface,Mixed,No
6.63,0.14,0.78,277,37,260,3.93,2.09,12,15.32,4.73,1.48,0.63,Subsurface,Loamy,No
7.2,0.4,0.53,272,27,206,1.84,1.26,14,24.16,3.66,1.7,0.32,Subsurface,Mixed,No
6.76,0.47,0.97,261,30,208,4.56,0.93,13,18.5,5.63,1.86,0.75,Subsurface,Clayey,No
7.01,0.19,1.18,300,18,299,2.12,1.92,9,7.99,8.96,0.72,0.8,Surface,Sandy,Yes
6.53,0.31,0.96,357,11,284,1.54,2.42,12,16.97,9.87,1.62,0.75,Subsurface,Loamy,Yes
7.1,0.15,0.66,399,11,257,3.0,2.37,19,9.5,4.5,1.97,0.26,Subsurface,Mixed,Yes
7.32,1.0,0.75,311,24,248,1.81,1.95,13,11.19,9.8,0.6,0.83,Surface,Mixed,No
7.43,0.76,1.18,275,33,286,4.85,0.88,18,21.76,5.48,0.54,0.38,Subsurface,Sandy,No
7.5,0.18,0.66,307,25,231,2.49,0.81,5,18.64,6.91,0.82,0.41,Subsurface,Clayey,No
7.75,0.12,0.89,392,37,281,2.28,2.24,11,10.74,8.43,0.81,0.51,Subsurface,Loamy,Yes
6.82,0.75,0.78,317,23,185,2.42,2.43,19,5.09,4.88,0.98,0.73,Subsurface,Sandy,Yes
6.68,0.5,1.04,255,28,203,2.49,1.74,11,15.62,3.67,1.89,0.65,Subsurface,Mixed,No
7.78,0.81,1.11,360,24,219,1.72,2.3,15,10.0,4.18,1.52,0.76,Surface,Loamy,Yes
6.73,0.93,0.74,379,12,212,3.39,2.13,15,5.57,8.71,0.52,0.73,Subsurface,Mixed,Yes
7.96,0.64,0.96,273,15,188,1.56,0.81,6,6.27,9.48,1.24,0.76,Subsurface,Loamy,No
7.76,0.27,0.88,284,15,285,4.11,0.95,16,18.47,3.03,1.81,0.44,Subsurface,Sandy,No
7.25,0.8,0.69,296,31,228,4.19,0.64,19,13.29,7.56,1.3,0.75,Subsurface,Clayey,No
7.97,0.96,0.69,280,30,246,2.9,1.45,6,10.25,2.28,0.79,0.84,Surface,Mixed,Yes
6.65,0.62,0.88,338,29,202,4.9,1.15,16,22.59,9.0,1.93,0.24,Subsurface,Loamy,Yes
6.95,0.71,0.61,325,37,264,4.24,1.35,12,21.5,8.85,0.96,0.95,Subsurface,Loamy,Yes
7.46,0.4,1.07,367,18,201,1.93,0.52,18,14.32,8.2,1.03,0.24,Surface,Clayey,No
7.03,0.44,0.55,379,20,288,4.93,1.94,11,10.51,8.6,1.03,0.8,Subsurface,Loamy,Yes
7.89,0.76,0.57,353,13,251,4.46,0.9,7,15.14,6.83,1.09,0.72,Subsurface,Loamy,No
6.6,0.93,0.74,308,23,263,3.96,1.24,14,20.06,3.18,1.56,0.45,Subsurface,Sandy,Yes
7.32,0.67,0.58,345,22,257,3.79,1.3,8,5.21,9.32,0.97,0.58,Surface,Loamy,Yes
7.39,0.81,0.83,312,24,273,3.62,0.63,18,17.25,3.13,1.2,0.93,Subsurface,Sandy,No
7.48,0.25,0.78,394,26,295,4.97,1.23,7,19.2,3.8,0.9,0.88,Surface,Mixed,Yes
6.88,0.29,1.01,303,17,187,3.17,2.3,8,21.34,5.46,1.26,0.49,Surface,Loamy,Yes
7.05,0.58,1.17,374,20,198,2.08,2.29,14,9.33,5.98,1.92,0.51,Surface,Sandy,Yes
7.77,0.26,1.03,398,33,288,2.53,0.55,17,9.07,2.77,0.93,0.37,Subsurface,Clayey,No
6.79,0.67,0.63,271,20,217,2.81,0.56,9,9.31,8.09,1.72,0.54,Subsurface,Clayey,No
7.74,0.36,1.15,374,25,279,2.61,1.69,18,23.63,3.1,0.83,0.72,Subsurface,Clayey,Yes
7.34,0.81,0.77,346,12,185,1.61,0.91,14,7.82,7.24,0.72,0.56,Surface,Sandy,No
7.64,0.83,0.83,365,34,231,1.76,2.3,18,20.29,5.62,0.64,0.78,Surface,Clayey,Yes
7.57,0.52,0.8,278,32,213,1.52,1.47,5,24.74,8.49,1.97,0.85,Subsurface,Loamy,No
6.81,0.26,0.7,398,24,253,3.88,1.15,10,23.93,4.36,1.36,0.46,Surface,Sandy,Yes
7.35,0.68,1.13,251,22,274,3.83,2.41,19,13.2,8.69,1.27,0.73,Subsurface,Mixed,No
7.8,0.99,0.73,291,16,190,1.74,1.14,17,21.79,4.02,0.51,0.63,Surface,Mixed,Yes
7.15,0.66,0.91,301,14,222,2.6,1.14,18,18.4,6.59,1.23,0.28,Subsurface,Mixed,Yes
7.95,0.13,0.67,287,37,214,2.49,0.77,9,22.37,5.89,1.49,0.43,Surface,Sandy,No
7.18,0.12,1.06,380,21,190,3.09,0.94,9,8.22,4.82,1.11,0.3,Subsurface,Sandy,No
6.71,0.39,1.04,326,12,219,2.76,2.02,13,20.3,2.09,0.69,0.84,Subsurface,Loamy,Yes
7.08,0.28,0.71,392,39,211,4.37,2.02,7,16.73,5.18,0.9,0.76,Subsurface,Mixed,Yes
7.93,0.83,0.98,354,35,228,4.59,1.27,7,15.8,2.95,1.57,0.84,Surface,Mixed,Yes
6.98,0.86,0.99,259,21,269,2.22,1.2,19,19.58,3.8,1.21,0.71,Surface,Clayey,No
7.8,0.33,0.89,369,14,265,1.92,1.34,13,10.46,7.51,1.22,0.61,Surface,Loamy,Yes
7.82,0.39,0.92,376,28,236,4.44,1.1,18,6.49,6.57,0.56,0.58,Subsurface,Loamy,Yes
7.03,0.31,0.9,363,38,244,3.26,1.72,12,15.04,6.22,1.29,0.47,Surface,Sandy,Yes
6.62,0.92,0.56,318,28,227,2.64,2.17,13,11.04,6.51,1.14,0.9,Surface,Sandy,Yes
7.59,0.55,0.97,358,10,272,1.68,0.52,14,10.13,2.96,1.82,0.57,Subsurface,Clayey,No
6.97,0.69,0.83,293,29,231,3.62,2.37,14,24.97,3.32,1.07,0.37,Subsurface,Mixed,Yes
7.67,0.47,0.81,269,39,218,2.23,0.74,12,8.96,6.34,1.41,0.8,Surface,Clayey,No
7.16,0.67,1.1,356,34,265,1.63,2.3,11,9.71,5.25,1.9,0.47,Subsurface,Sandy,Yes
7.23,0.45,0.52,368,21,233,3.06,0.97,18,11.68,5.71,1.35,0.38,Surface,Mixed,No
7.67,0.41,0.68,358,31,275,3.59,2.33,6,14.94,9.03,0.54,0.83,Subsurface,Mixed,Yes
7.07,0.67,0.58,257,31,204,2.1,2.07,15,22.38,3.48,0.65,0.56,Subsurface,Mixed,No
7.16,0.63,0.52,292,15,283,3.78,1.04,18,8.53,9.29,1.95,0.36,Subsurface,Clayey,Yes
7.06,0.36,0.69,387,38,224,2.16,0.56,19,17.32,8.86,1.33,0.74,Surface,Clayey,No
7.05,0.23,1.19,290,30,208,1.57,1.93,16,12.37,9.21,0.78,0.85,Subsurface,Sandy,Yes
7.29,0.43,0.69,381,27,280,2.02,2.14,9,20.94,7.13,1.35,0.52,Surface,Clayey,Yes
7.71,0.47,0.96,381,30,211,3.55,1.86,14,17.04,8.91,1.94,0.39,Subsurface,Sandy,Yes
7.04,0.67,0.58,273,25,273,3.72,1.26,11,20.9,9.93,0.57,0.22,Surface,Sandy,No
7.29,0.92,0.92,270,20,261,4.53,0.75,9,22.1,5.77,1.29,0.89,Surface,Loamy,No
7.51,0.13,1.19,387,19,287,1.72,1.19,5,23.24,8.89,0.7,0.56,Subsurface,Loamy,Yes
6.9,0.32,0.7,295,12,291,4.84,1.04,15,24.91,9.23,1.17,0.91,Subsurface,Mixed,Yes
6.92,0.27,1.09,370,35,246,3.33,1.95,14,17.38,4.48,1.48,0.76,Surface,Mixed,Yes
7.9,0.55,1.2,293,36,191,2.36,0.82,10,17.75,5.54,1.19,0.6,Subsurface,Mixed,No
7.59,0.49,0.91,349,27,237,2.78,2.14,10,7.81,6.59,1.94,0.76,Surface,Loamy,Yes
7.37,0.76,0.72,282,21,294,1.69,1.72,16,7.1,4.79,1.38,0.45,Surface,Clayey,Yes
7.47,0.32,0.97,343,23,199,1.89,1.47,10,14.75,4.58,1.95,0.36,Subsurface,Sandy,Yes
6.54,0.64,1.09,285,13,229,4.59,1.22,7,18.87,5.05,0.97,0.32,Subsurface,Mixed,Yes
7.43,0.9,0.62,262,19,187,1.87,1.51,5,9.96,5.39,0.53,0.93,Surface,Mixed,No
7.26,0.92,0.82,263,34,210,1.7,1.58,18,11.54,4.02,0.73,0.8,Subsurface,Mixed,No
7.32,0.96,0.72,299,16,203,3.59,0.97,11,19.0,5.79,0.61,0.95,Surface,Sandy,No
7.04,0.8,0.7,317,25,192,2.84,2.48,19,9.23,8.23,1.61,0.81,Subsurface,Sandy,Yes
6.62,0.92,1.1,250,35,251,2.92,2.32,10,15.43,7.0,0.78,0.51,Surface,Clayey,No
6.79,0.31,0.8,252,18,221,1.92,1.28,18,15.77,5.04,1.64,0.95,Surface,Clayey,No
7.93,0.28,0.74,381,39,257,1.65,1.01,9,23.34,3.25,1.31,0.67,Surface,Mixed,Yes
7.11,0.11,0.92,263,12,258,4.53,1.11,7,13.05,8.59,0.83,0.95,Surface,Sandy,No
7.2,0.74,0.65,338,11,264,2.86,2.46,19,9.21,6.09,1.42,0.37,Subsurface,Mixed,Yes
6.58,0.94,0.66,352,34,258,1.89,1.31,17,8.48,9.77,0.52,0.5,Surface,Mixed,Yes
6.56,0.27,0.86,374,15,205,2.2,2.32,10,10.86,4.02,1.0,0.5,Subsurface,Sandy,Yes
7.58,0.67,0.79,316,19,217,1.86,0.62,14,10.58,3.4,1.68,0.2,Surface,Loamy,No
7.31,0.77,0.71,256,13,289,3.17,2.05,18,20.0,2.06,1.62,0.75,Subsurface,Loamy,No
7.26,0.93,0.54,257,13,217,4.31,2.02,18,16.87,2.66,1.69,0.92,Surface,Clayey,No
6.86,0.68,0.86,293,19,234,2.88,1.8,13,18.65,5.08,1.38,0.93,Surface,Mixed,Yes
7.62,0.97,1.07,384,19,276,3.67,0.74,16,17.61,3.59,1.36,0.84,Surface,Sandy,No
6.75,0.41,1.1,297,22,189,3.86,2.46,12,14.62,2.3,1.11,0.4,Subsurface,Clayey,Yes
6.78,0.41,0.66,311,15,262,3.99,0.93,15,23.57,3.8,1.92,0.51,Surface,Mixed,No
7.19,0.59,0.92,274,16,190,3.62,1.92,18,21.35,7.83,1.92,0.46,Surface,Sandy,No
6.93,0.45,1.1,367,37,182,3.44,2.0,17,9.22,7.89,0.51,0.56,Surface,Mixed,Yes
6.87,0.1,0.79,362,36,202,3.17,2.02,12,13.47,3.2,1.94,0.56,Surface,Mixed,Yes
7.47,0.76,1.15,395,35,241,3.16,2.15,12,10.76,9.49,1.81,0.91,Subsurface,Clayey,Yes
7.48,0.78,1.13,371,14,249,2.67,2.48,5,19.91,3.27,1.41,0.28,Surface,Mixed,Yes
7.74,0.77,0.65,253,24,220,3.27,0.69,11,11.89,2.71,0.99,0.81,Subsurface,Mixed,No
7.13,0.41,0.68,394,39,220,3.18,1.44,5,17.8,3.3,1.13,0.66,Subsurface,Loamy,Yes
6.61,0.57,0.63,296,17,272,2.62,2.45,11,10.84,3.12,1.77,0.75,Subsurface,Loamy,Yes
6.91,0.42,0.64,367,19,183,2.55,2.26,6,8.43,7.05,0.72,0.91,Surface,Loamy,Yes
7.97,0.11,1.14,294,21,182,3.06,2.48,7,5.18,3.25,1.43,0.95,Subsurface,Mixed,Yes
7.39,0.61,1.15,338,26,263,4.31,1.66,14,24.89,7.07,0.85,0.21,Subsurface,Sandy,Yes
7.56,0.21,0.54,252,25,230,2.37,1.85,6,9.39,4.21,1.07,0.88,Subsurface,Sandy,No
6.51,0.17,0.92,389,39,234,4.46,1.03,14,21.64,3.99,0.51,0.35,Surface,Loamy,Yes
7.28,0.78,0.89,394,10,286,4.03,1.42,5,21.44,9.18,1.95,0.32,Subsurface,Clayey,Yes
6.56,0.11,0.77,367,13,294,2.42,0.54,9,9.72,3.71,0.66,0.93,Subsurface,Mixed,No
7.35,0.96,0.94,271,17,242,1.55,1.94,17,13.31,8.92,1.65,0.95,Subsurface,Mixed,No
7.88,0.56,1.16,288,36,228,1.77,2.35,12,21.72,4.43,1.34,0.52,Surface,Clayey,Yes
7.95,0.98,0.62,288,33,251,4.59,0.72,16,18.8,9.93,1.74,0.25,Subsurface,Sandy,No
7.31,0.15,0.58,356,15,249,4.32,1.41,10,12.4,9.85,1.27,0.85,Surface,Loamy,Yes
7.19,0.63,0.52,349,30,248,2.83,1.75,8,23.98,8.62,1.98,0.88,Surface,Sandy,Yes
7.92,0.41,0.75,265,19,187,1.72,1.76,17,11.85,8.94,1.41,0.37,Surface,Loamy,No
7.51,0.86,0.74,367,35,187,4.34,1.11,14,9.24,8.59,1.42,0.99,Surface,Clayey,Yes
6.6,0.43,0.8,278,27,278,2.39,0.54,5,7.93,7.04,1.88,0.83,Surface,Sandy,No
7.2,0.33,0.85,320,22,198,4.84,2.28,14,19.03,8.47,0.89,0.56,Surface,Mixed,Yes
6.86,0.87,1.03,326,14,291,3.33,0.68,6,5.58,7.03,1.04,0.56,Subsurface,Clayey,No
7.2,0.44,0.77,398,21,253,4.0,0.86,19,21.92,8.74,1.5,0.47,Subsurface,Loamy,No
7.18,0.12,0.73,381,30,234,3.12,2.43,6,11.08,9.48,0.71,0.79,Subsurface,Mixed,Yes
7.37,0.45,1.08,375,27,278,1.6,1.5,15,12.4,8.03,1.71,0.7,Surface,Loamy,Yes
7.04,0.69,1.09,348,17,252,1.72,2.25,7,21.04,9.72,1.39,0.82,Subsurface,Loamy,Yes
6.75,0.33,0.66,365,23,251,4.92,2.29,6,21.28,5.59,1.63,0.63,Surface,Mixed,Yes
7.26,0.49,0.72,264,24,187,2.94,2.48,8,13.0,9.4,1.99,0.24,Subsurface,Sandy,No
7.75,0.15,1.08,339,35,236,2.14,0.58,8,16.08,3.81,1.97,0.9,Subsurface,Loamy,No
7.5,0.63,0.56,384,14,251,4.02,0.61,9,18.58,2.25,1.17,0.56,Surface,Mixed,No
7.01,0.78,0.73,395,14,263,4.59,0.88,13,18.77,3.02,0.92,0.78,Subsurface,Loamy,No
7.9,0.47,0.81,338,37,186,2.43,1.81,7,15.68,3.28,1.45,0.4,Surface,Loamy,Yes
7.87,0.48,0.63,398,26,225,3.5,1.02,10,21.88,8.6,1.57,0.41,Surface,Mixed,Yes
6.81,0.18,0.63,365,22,201,2.36,1.49,14,21.83,5.21,0.94,0.49,Subsurface,Sandy,Yes
6.56,0.28,0.8,385,26,260,4.38,2.07,18,21.98,3.87,0.92,0.48,Subsurface,Loamy,Yes
7.61,0.24,1.03,269,20,223,1.8,0.87,15,10.36,8.5,0.82,0.42,Subsurface,Loamy,No
7.74,0.53,1.09,331,10,184,2.8,1.07,18,10.14,3.62,1.86,0.46,Surface,Clayey,Yes
7.95,0.58,1.19,366,33,277,2.83,1.96,17,7.8,2.62,0.65,0.31,Subsurface,Clayey,Yes
7.83,0.95,0.55,316,22,204,3.73,0.52,8,21.53,5.73,0.87,0.21,Subsurface,Sandy,No
7.4,0.17,0.65,311,35,226,2.12,2.01,11,6.21,2.56,1.44,0.98,Surface,Clayey,Yes
7.3,0.64,1.03,267,27,222,3.16,1.85,8,7.71,4.23,1.2,0.26,Subsurface,Sandy,No
6.54,0.57,0.88,340,33,194,3.43,0.76,19,23.52,7.6,0.68,0.48,Surface,Loamy,No
6.87,0.56,0.73,359,38,243,4.62,0.99,11,7.5,5.0,0.93,0.87,Subsurface,Loamy,No
7.19,0.89,0.64,305,37,210,3.34,0.53,5,7.43,2.7,1.11,0.2,Surface,Mixed,No
7.44,0.28,0.7,334,15,288,1.96,1.66,13,23.18,5.22,1.94,0.82,Surface,Sandy,Yes
7.34,0.14,0.8,399,22,262,1.85,1.29,19,11.2,6.11,1.09,0.54,Surface,Clayey,Yes
7.61,0.71,0.62,257,30,223,4.73,1.35,17,22.63,4.0,0.67,0.37,Surface,Mixed,No
6.92,0.41,1.17,388,31,274,4.93,0.71,5,12.55,3.37,1.96,0.32,Surface,Sandy,No
7.35,0.12,0.58,356,29,226,2.08,1.2,9,12.47,8.09,1.15,0.87,Surface,Sandy,Yes
6.63,0.33,1.19,261,37,191,4.13,2.34,12,7.7,2.54,0.71,0.43,Surface,Clayey,No
7.12,0.38,1.09,352,20,243,2.38,0.63,12,23.37,9.65,1.42,0.58,Surface,Clayey,No
7.63,0.66,0.8,312,28,202,4.42,2.45,10,20.23,2.06,1.71,0.49,Subsurface,Sandy,Yes
7.54,0.26,1.02,276,36,229,1.84,2.2,10,9.51,7.21,1.57,0.89,Subsurface,Sandy,No
7.99,0.47,0.97,284,29,266,3.03,0.91,19,19.56,3.07,0.97,0.31,Subsurface,Mixed,No
6.92,0.53,0.65,379,18,215,3.59,1.91,15,7.07,6.38,0.86,0.99,Subsurface,Loamy,Yes
7.25,0.51,0.74,385,22,190,4.48,0.68,6,15.48,3.5,1.82,0.22,Surface,Sandy,No
6.99,0.98,0.86,269,24,265,4.5,0.82,8,10.09,2.27,0.79,0.36,Subsurface,Sandy,No
7.16,0.14,0.95,257,33,226,2.15,1.48,19,22.01,8.88,1.64,0.58,Surface,Clayey,No
7.79,0.96,0.88,317,20,235,4.88,1.3,12,15.22,5.39,0.53,0.34,Subsurface,Sandy,Yes
7.53,0.62,0.83,390,33,273,3.73,2.13,6,23.42,4.2,1.13,0.4,Subsurface,Loamy,Yes
7.82,0.82,0.81,335,25,248,3.81,2.38,10,16.7,9.58,1.98,0.99,Surface,Sandy,Yes
6.81,0.49,0.85,275,26,216,4.61,2.39,7,15.08,2.66,1.45,0.69,Subsurface,Clayey,No
7.81,0.51,0.8,330,14,263,2.62,0.79,18,18.88,4.79,0.97,0.24,Surface,Loamy,No
6.59,0.89,0.88,369,31,189,2.95,1.87,11,20.68,3.42,1.55,0.58,Subsurface,Sandy,Yes
7.83,0.91,1.12,267,39,235,4.95,1.64,13,5.31,9.93,1.03,0.67,Surface,Mixed,No
6.99,0.31,0.94,318,23,265,1.56,1.24,12,15.45,6.37,1.91,0.46,Surface,Mixed,Yes
6.97,0.28,1.01,389,24,221,4.54,2.49,16,20.51,8.5,0.85,0.91,Surface,Loamy,Yes
7.27,0.55,0.92,379,18,209,4.45,1.41,12,13.15,3.31,0.98,0.85,Subsurface,Clayey,Yes
